iter	MultiClass
0	1.044092924
1	1.001546997
2	0.9658050763
3	0.9338388946
4	0.9059805663
5	0.8798008793
6	0.8561963755
7	0.8388598168
8	0.8227363583
9	0.8071530504
10	0.793545976
11	0.7798044878
12	0.7681748652
13	0.760176239
14	0.7511424372
15	0.7444755927
16	0.7369815359
17	0.7284793705
18	0.7212384294
19	0.7163726178
20	0.7090940129
21	0.7044546766
22	0.6981416225
23	0.6941209867
24	0.6891832137
25	0.6859920134
26	0.6835361064
27	0.680277582
28	0.6774616347
29	0.6756613335
30	0.6730661888
31	0.6684721865
32	0.6658209756
33	0.6634366379
34	0.6615686475
35	0.658134635
36	0.6558196029
37	0.6537067054
38	0.6525951255
39	0.6514350139
40	0.6492360486
41	0.6474314711
42	0.6467434769
43	0.6459591266
44	0.6447356257
45	0.6420174895
46	0.6404013222
47	0.6387889413
48	0.6369784223
49	0.6357216549
50	0.6349094175
51	0.6340193635
52	0.6329019486
53	0.6323753202
54	0.6312849527
55	0.6297210823
56	0.6289496102
57	0.6281924829
58	0.6273109336
59	0.6267113447
60	0.6258908893
61	0.6251444762
62	0.624724012
63	0.623493245
64	0.6231584012
65	0.622916865
66	0.6226671898
67	0.6218576433
68	0.6214358513
69	0.6209327214
70	0.6204450293
71	0.6200509553
72	0.6193725544
73	0.6183900815
74	0.6178502611
75	0.6176115917
76	0.6171761424
77	0.6167051712
78	0.6149052238
79	0.6145774877
80	0.6138472182
81	0.6135505071
82	0.6129780629
83	0.612288041
84	0.6118880459
85	0.6112512135
86	0.6108152641
87	0.6102944091
88	0.6098729797
89	0.6085883604
90	0.6082724075
91	0.6077633388
92	0.6072823758
93	0.6062735591
94	0.6056278161
95	0.6048133603
96	0.6043484551
97	0.603903601
98	0.603324931
99	0.603068119
100	0.6024743973
101	0.6017450205
102	0.6008977994
103	0.6008158608
104	0.600511881
105	0.600163179
106	0.5994248844
107	0.5990926898
108	0.5983195988
109	0.597947092
110	0.5976030361
111	0.59705658
112	0.5964477887
113	0.5961539883
114	0.5957049033
115	0.5953899351
116	0.5947865926
117	0.5942750172
118	0.5939877706
119	0.5934523517
120	0.5931413585
121	0.5927612405
122	0.5922792167
123	0.5920311304
124	0.5916122854
125	0.591284562
126	0.5908931963
127	0.5905741202
128	0.5903111736
129	0.5900313646
130	0.589337521
131	0.5892537466
132	0.589015852
133	0.5886742098
134	0.5881918819
135	0.5876561657
136	0.5874198735
137	0.5870020258
138	0.5867644751
139	0.5865927019
140	0.5857642597
141	0.585336306
142	0.584747155
143	0.5845705005
144	0.5843292584
145	0.5841524246
146	0.583701718
147	0.583451038
148	0.5831670708
149	0.5830058648
150	0.5826657035
151	0.582206397
152	0.5818836802
153	0.5814544087
154	0.5804954282
155	0.5803165882
156	0.5800946661
157	0.5798062968
158	0.5794659723
159	0.5793277251
160	0.5791246029
161	0.5788127585
162	0.5786397522
163	0.5782628811
164	0.5776103137
165	0.5771890917
166	0.5767453244
167	0.5764990229
168	0.5760140869
169	0.5757606844
170	0.5754580376
171	0.575163347
172	0.5748841671
173	0.574632442
174	0.5744510589
175	0.5741847288
176	0.5739332734
177	0.5736947665
178	0.5734178319
179	0.5731595351
180	0.5722430362
181	0.5721027555
182	0.5719339834
183	0.5716503385
184	0.5712923266
185	0.5710053175
186	0.5706377148
187	0.5698986755
188	0.5696885993
189	0.5692702033
190	0.5689237923
191	0.5686738921
192	0.5683299114
193	0.5681402297
194	0.5679491933
195	0.5677841106
196	0.5673312019
197	0.5669094329
198	0.5665167656
199	0.5662743711
200	0.5660589178
201	0.565550406
202	0.565219544
203	0.5649716694
204	0.564797034
205	0.564544232
206	0.5642859195
207	0.564170617
208	0.5636692617
209	0.5635278299
210	0.5631061036
211	0.5629071956
212	0.5627543761
213	0.5626341338
214	0.5621259572
215	0.5617060553
216	0.5614425585
217	0.5610285232
218	0.5605559845
219	0.5601500647
220	0.5598920747
221	0.559698718
222	0.5595238525
223	0.5592097243
224	0.5589516343
225	0.5587141983
226	0.5583194218
227	0.5580900774
228	0.5576393156
229	0.5573528669
230	0.557147126
231	0.5569686368
232	0.5567758694
233	0.5563203368
234	0.5561559634
235	0.5560262663
236	0.5554739437
237	0.5551547944
238	0.5550062567
239	0.554668865
240	0.5544899404
241	0.5543862217
242	0.5540332463
243	0.5537474192
244	0.5533878553
245	0.5532850936
246	0.552839867
247	0.5524238078
248	0.5518944686
249	0.5515919157
250	0.551426596
251	0.5510313231
252	0.5508032539
253	0.5504365862
254	0.5501864187
255	0.5499232338
256	0.5497832475
257	0.5495406812
258	0.5493528178
259	0.549099648
260	0.5489545348
261	0.5488033992
262	0.5484871194
263	0.5481467024
264	0.5478480547
265	0.5476601136
266	0.54721744
267	0.5470703319
268	0.546833726
269	0.5466784851
270	0.5464377227
271	0.5462849882
272	0.5461526031
273	0.5459714813
274	0.5458204656
275	0.545628009
276	0.5454202169
277	0.545174464
278	0.5448976901
279	0.5446693714
280	0.544520021
281	0.5442188014
282	0.5440545141
283	0.5437682735
284	0.5436188662
285	0.5431726725
286	0.5430064167
287	0.5428056309
288	0.5426589402
289	0.5425046762
290	0.5424024735
291	0.542273648
292	0.5420438863
293	0.5419397433
294	0.5417705995
295	0.5413323123
296	0.5412103478
297	0.54095017
298	0.5408516683
299	0.5406621576
300	0.5403771053
301	0.5401603843
302	0.5400263683
303	0.5398863006
304	0.5396609282
305	0.5394692656
306	0.5393696361
307	0.5389329437
308	0.5388056967
309	0.5383939501
310	0.5380969067
311	0.5379436644
312	0.5377139693
313	0.5372864492
314	0.5371367655
