iter	Passed	Remaining
0	3	4335
1	6	3713
2	9	3545
3	12	3420
4	14	3275
5	17	3200
6	20	3263
7	23	3272
8	27	3293
9	30	3338
10	33	3281
11	36	3323
12	39	3300
13	42	3266
14	44	3233
15	47	3191
16	50	3193
17	53	3209
18	56	3212
19	59	3201
20	61	3181
21	64	3174
22	68	3200
23	71	3196
24	73	3181
25	76	3161
26	79	3149
27	82	3142
28	85	3158
29	88	3156
30	90	3136
31	94	3137
32	96	3124
33	99	3120
34	102	3120
35	105	3110
36	108	3104
37	110	3093
38	113	3083
39	116	3079
40	119	3081
41	122	3076
42	124	3071
43	127	3066
44	131	3074
45	134	3082
46	137	3082
47	140	3071
48	143	3077
49	146	3071
50	149	3071
51	152	3080
52	156	3081
53	158	3076
54	161	3071
55	164	3070
56	168	3079
57	171	3077
58	173	3069
59	177	3075
60	180	3074
61	183	3074
62	186	3075
63	189	3071
64	193	3075
65	195	3070
66	199	3073
67	202	3074
68	205	3074
69	209	3078
70	212	3080
71	215	3076
72	218	3074
73	221	3075
74	224	3073
75	228	3072
76	231	3076
77	234	3078
78	237	3073
79	240	3069
80	243	3065
81	246	3064
82	250	3066
83	254	3072
84	257	3070
85	260	3067
86	264	3075
87	267	3074
88	279	3177
89	282	3172
90	285	3169
91	288	3163
92	291	3156
93	294	3149
94	297	3150
95	300	3144
96	303	3143
97	307	3139
98	309	3132
99	314	3141
100	317	3136
101	319	3129
102	322	3124
103	325	3119
104	328	3116
105	331	3112
106	335	3109
107	337	3102
108	340	3097
109	343	3093
110	347	3095
111	350	3090
112	353	3084
113	356	3085
114	360	3085
115	363	3084
116	366	3079
117	369	3077
118	372	3071
119	375	3066
120	379	3067
121	382	3064
122	385	3059
123	388	3054
124	390	3047
125	393	3044
126	397	3044
127	401	3047
128	403	3040
129	406	3034
130	409	3031
131	413	3029
132	416	3027
133	419	3026
134	422	3019
135	425	3017
136	429	3016
137	432	3013
138	435	3011
139	438	3007
140	441	3002
141	444	3001
142	448	2999
143	451	2998
144	454	2992
145	457	2990
146	461	2990
147	464	2991
148	467	2987
149	471	2985
150	474	2985
151	478	2985
152	481	2979
153	484	2975
154	487	2970
155	490	2966
156	493	2963
157	496	2960
158	499	2957
159	503	2955
160	506	2952
161	510	2954
162	513	2949
163	515	2944
164	518	2939
165	522	2937
166	525	2937
167	529	2936
168	532	2930
169	534	2925
170	537	2920
171	541	2922
172	544	2917
173	547	2912
174	550	2909
175	553	2904
176	556	2902
177	559	2899
178	562	2896
179	566	2894
180	569	2889
181	572	2888
182	575	2885
183	578	2880
184	582	2879
185	585	2875
186	589	2875
187	600	2912
188	603	2907
189	606	2904
190	609	2899
191	611	2894
192	614	2889
193	617	2885
194	620	2880
195	624	2879
196	626	2873
197	629	2868
198	632	2864
199	635	2858
200	638	2855
201	642	2854
202	645	2850
203	647	2845
204	650	2841
205	654	2839
206	657	2836
207	660	2831
208	663	2828
209	666	2824
210	669	2820
211	672	2817
212	675	2812
213	678	2807
214	680	2802
215	683	2798
216	687	2796
217	690	2792
218	693	2788
219	696	2784
220	699	2781
221	702	2777
222	705	2774
223	708	2770
224	711	2767
225	714	2762
226	717	2759
227	721	2758
228	724	2756
229	727	2752
230	730	2747
231	733	2742
232	736	2740
233	753	2789
234	756	2785
235	759	2780
236	762	2776
237	765	2771
238	769	2770
239	772	2767
240	775	2762
241	777	2757
242	780	2753
243	784	2752
244	788	2750
245	791	2746
246	793	2741
247	796	2736
248	799	2733
249	802	2730
250	806	2726
251	809	2723
252	812	2719
253	815	2715
254	818	2711
255	824	2717
256	829	2722
257	837	2733
258	842	2736
259	849	2744
260	855	2750
261	860	2750
262	865	2753
263	868	2750
264	871	2746
265	874	2742
266	877	2738
267	880	2734
268	885	2735
269	890	2736
270	894	2735
271	897	2733
272	901	2731
273	904	2727
274	908	2724
275	911	2720
276	914	2717
277	917	2713
278	920	2708
279	923	2704
280	926	2699
281	929	2695
282	932	2692
283	935	2687
284	938	2683
285	941	2678
286	943	2673
287	948	2672
288	951	2669
289	954	2665
290	957	2661
291	959	2656
292	962	2651
293	966	2648
294	969	2646
295	972	2642
296	975	2638
297	979	2635
298	982	2632
299	985	2628
300	988	2622
301	990	2617
302	993	2613
303	996	2610
304	999	2605
305	1002	2601
306	1005	2597
307	1008	2592
308	1011	2588
309	1013	2583
310	1016	2579
311	1019	2575
312	1022	2571
313	1025	2566
314	1029	2564
315	1033	2563
316	1036	2560
317	1039	2555
318	1042	2552
319	1045	2548
320	1048	2545
321	1051	2540
322	1054	2536
323	1057	2531
324	1059	2527
325	1062	2523
326	1065	2518
327	1068	2514
328	1071	2510
329	1074	2506
330	1077	2502
331	1080	2499
332	1083	2495
333	1086	2491
334	1089	2487
335	1092	2483
336	1095	2480
337	1098	2475
338	1100	2471
339	1103	2467
340	1106	2462
341	1110	2460
342	1113	2457
343	1116	2454
344	1119	2449
345	1122	2445
346	1126	2443
347	1129	2440
348	1132	2436
349	1134	2432
350	1137	2427
351	1140	2424
352	1144	2421
353	1147	2417
354	1150	2413
355	1153	2410
356	1155	2405
357	1159	2402
358	1162	2399
359	1165	2394
360	1168	2391
361	1171	2388
362	1174	2384
363	1177	2380
364	1179	2376
365	1182	2372
366	1186	2369
367	1189	2365
368	1192	2361
369	1194	2357
370	1197	2353
371	1200	2349
372	1203	2345
373	1206	2342
374	1209	2339
375	1213	2335
376	1216	2333
377	1220	2331
378	1223	2328
379	1226	2324
380	1230	2321
381	1232	2317
382	1235	2313
383	1238	2309
384	1241	2306
385	1245	2303
386	1248	2300
387	1251	2296
388	1254	2292
389	1258	2290
390	1261	2287
391	1265	2284
392	1268	2281
393	1271	2278
394	1274	2274
395	1277	2271
396	1280	2267
397	1283	2263
398	1286	2260
399	1290	2258
400	1293	2254
401	1296	2251
402	1299	2247
403	1302	2244
404	1305	2240
405	1308	2237
406	1311	2233
407	1314	2229
408	1318	2226
409	1321	2224
410	1325	2221
411	1328	2218
412	1331	2214
413	1334	2210
414	1337	2207
415	1340	2203
416	1342	2199
417	1346	2196
418	1348	2192
419	1351	2188
420	1354	2185
421	1358	2182
422	1361	2179
423	1364	2175
424	1367	2172
425	1371	2169
426	1374	2165
427	1376	2161
428	1379	2158
429	1382	2154
430	1385	2150
431	1388	2147
432	1391	2143
433	1394	2139
434	1397	2136
435	1400	2133
436	1403	2130
437	1407	2127
438	1410	2123
439	1413	2119
440	1416	2116
441	1419	2113
442	1422	2108
443	1425	2106
444	1428	2102
445	1431	2099
446	1435	2096
447	1438	2092
448	1440	2089
449	1444	2085
450	1446	2082
451	1450	2078
452	1452	2075
453	1455	2071
454	1458	2068
455	1461	2064
456	1464	2061
457	1468	2058
458	1471	2055
459	1475	2052
460	1478	2048
461	1480	2045
462	1484	2041
463	1487	2038
464	1490	2035
465	1493	2031
466	1496	2028
467	1499	2024
468	1502	2021
469	1505	2017
470	1507	2013
471	1510	2010
472	1513	2006
473	1516	2003
474	1519	1999
475	1522	1996
476	1525	1993
477	1528	1989
478	1531	1985
479	1534	1982
480	1537	1978
481	1540	1975
482	1543	1971
483	1546	1968
484	1550	1965
485	1552	1961
486	1555	1957
487	1558	1954
488	1561	1951
489	1565	1948
490	1568	1945
491	1571	1941
492	1573	1937
493	1576	1934
494	1581	1932
495	1584	1929
496	1588	1926
497	1590	1923
498	1594	1919
499	1597	1916
500	1600	1913
501	1603	1909
502	1605	1905
503	1608	1902
504	1611	1899
505	1615	1896
506	1618	1893
507	1621	1889
508	1623	1885
509	1626	1881
510	1629	1878
511	1633	1875
512	1635	1871
513	1639	1868
514	1642	1865
515	1645	1862
516	1648	1858
517	1651	1855
518	1654	1851
519	1656	1848
520	1660	1844
521	1663	1842
522	1667	1839
523	1670	1835
524	1672	1832
525	1675	1828
526	1679	1825
527	1682	1822
528	1684	1818
529	1687	1814
530	1690	1811
531	1693	1807
532	1696	1804
533	1699	1801
534	1702	1797
535	1705	1794
536	1708	1790
537	1711	1787
538	1714	1784
539	1717	1781
540	1720	1777
541	1722	1773
542	1726	1770
543	1729	1767
544	1732	1764
545	1734	1760
546	1738	1757
547	1741	1753
548	1744	1750
549	1747	1747
550	1750	1743
551	1753	1740
552	1756	1737
553	1759	1733
554	1762	1730
555	1765	1726
556	1767	1723
557	1770	1719
558	1773	1716
559	1776	1712
560	1779	1709
561	1782	1706
562	1785	1703
563	1788	1699
564	1791	1696
565	1794	1693
566	1797	1690
567	1800	1686
568	1803	1683
569	1806	1680
570	1809	1676
571	1812	1673
572	1815	1669
573	1819	1667
574	1822	1664
575	1826	1661
576	1829	1657
577	1831	1654
578	1834	1650
579	1837	1647
580	1840	1644
581	1843	1641
582	1846	1637
583	1849	1634
584	1852	1630
585	1855	1627
586	1858	1623
587	1861	1620
588	1864	1617
589	1867	1614
590	1870	1610
591	1872	1606
592	1875	1603
593	1878	1600
594	1881	1597
595	1884	1593
596	1887	1590
597	1890	1587
598	1894	1584
599	1897	1581
600	1900	1577
601	1903	1574
602	1906	1571
603	1909	1568
604	1913	1565
605	1916	1561
606	1919	1558
607	1922	1555
608	1926	1552
609	1929	1549
610	1932	1546
611	1935	1542
612	1937	1539
613	1941	1536
614	1944	1533
615	1947	1529
616	1950	1526
617	1952	1523
618	1956	1520
619	1959	1517
620	1962	1513
621	1965	1510
622	1968	1507
623	1971	1504
624	1974	1500
625	1977	1497
626	1979	1493
627	1983	1490
628	1985	1486
629	1988	1483
630	1992	1480
631	1995	1477
632	1998	1474
633	2001	1471
634	2004	1468
635	2007	1464
636	2010	1461
637	2013	1458
638	2016	1454
639	2019	1451
640	2022	1448
641	2025	1444
642	2028	1441
643	2031	1438
644	2034	1435
645	2037	1431
646	2040	1428
647	2043	1425
648	2045	1421
649	2048	1418
650	2051	1414
651	2054	1411
652	2057	1408
653	2060	1404
654	2063	1401
655	2066	1398
656	2069	1395
657	2072	1392
658	2075	1388
659	2078	1385
660	2081	1382
661	2084	1379
662	2087	1376
663	2091	1373
664	2094	1369
665	2097	1366
666	2099	1363
667	2103	1360
668	2106	1357
669	2109	1353
670	2111	1350
671	2114	1346
672	2117	1343
673	2120	1340
674	2124	1337
675	2126	1334
676	2131	1331
677	2134	1328
678	2137	1325
679	2140	1321
680	2143	1318
681	2146	1315
682	2148	1312
683	2152	1309
684	2155	1305
685	2158	1302
686	2161	1299
687	2164	1295
688	2167	1292
689	2170	1289
690	2173	1286
691	2176	1282
692	2178	1279
693	2181	1276
694	2184	1273
695	2188	1270
