iter	RMSE
252	0.4291060733
253	0.4286556206
254	0.4284203665
255	0.4281301458
256	0.4277916258
257	0.4274715212
258	0.427318631
259	0.4269352763
260	0.426881052
261	0.4265648287
262	0.426293768
263	0.4258411237
264	0.4256280516
265	0.425350075
266	0.4250742002
267	0.4247913542
268	0.4247453068
269	0.4243398121
270	0.424134427
271	0.4237467754
272	0.4235159164
273	0.4231999468
274	0.4227971688
275	0.4224880845
276	0.4223236807
277	0.4220210272
278	0.4217752892
279	0.4214018371
280	0.4210351779
281	0.4207445165
282	0.4203875815
283	0.4199253045
284	0.4195803271
285	0.4193864262
286	0.4191998632
287	0.4188951306
288	0.4187192442
289	0.418475971
290	0.4183445312
291	0.417843978
292	0.4175843753
293	0.4172701053
294	0.4170003828
295	0.4166276488
296	0.4163281021
297	0.4161238629
298	0.4157791076
299	0.4155060477
300	0.4152819652
301	0.4151070309
302	0.4147693455
303	0.4146337677
304	0.414200907
305	0.4139385966
306	0.4137804187
307	0.4135511286
308	0.4131357576
309	0.4129612748
310	0.4128665886
311	0.4126538081
312	0.4122728902
313	0.412149193
314	0.4117210664
315	0.4114494538
316	0.4112150693
317	0.4110906661
318	0.4107609616
319	0.4103656372
320	0.4101755578
321	0.4099200978
322	0.409800755
323	0.4094105524
324	0.4092368655
325	0.408894697
326	0.4084101034
327	0.4082508059
328	0.4079064465
329	0.407592394
330	0.4073572446
331	0.4071812879
332	0.4068968424
333	0.406624686
334	0.4063401033
335	0.4061015548
336	0.4057394481
337	0.4055397013
338	0.4052175761
339	0.4048495565
340	0.4043398798
341	0.4041637936
342	0.4039431324
343	0.4036231598
344	0.4034841974
345	0.4030810418
346	0.4027499446
347	0.402343518
348	0.4022303953
349	0.4017962517
350	0.4015219318
351	0.4012758535
352	0.4011666695
353	0.4008252622
354	0.4004528826
355	0.4002119135
356	0.4000021889
357	0.3998320453
358	0.3994917004
359	0.3992841716
360	0.3989768447
361	0.3985614944
362	0.3982630623
363	0.3980870908
364	0.397594768
365	0.3973977055
366	0.3972491394
367	0.3970206511
368	0.3968529294
369	0.3966891222
370	0.3964200387
371	0.396082318
372	0.3957342875
373	0.3956091714
374	0.3953039565
375	0.3950701398
376	0.3949263031
377	0.3946754128
378	0.3944170008
379	0.3943010281
380	0.3940890517
381	0.3938624161
382	0.3937578473
383	0.3935841493
384	0.3932912035
385	0.3931532715
386	0.3930538856
387	0.3928215654
388	0.3927153748
389	0.392453393
390	0.3923020362
391	0.3921232274
392	0.3918011481
393	0.3916671004
394	0.3914664437
395	0.3912395102
396	0.3910190956
397	0.3909023131
398	0.3907367061
399	0.390424455
400	0.3901768369
401	0.3900342216
402	0.3898333628
403	0.3896579603
404	0.3893456067
405	0.3890621728
406	0.3888991796
407	0.3887346564
408	0.3885073704
409	0.3883367733
410	0.387938452
411	0.3878120917
412	0.3873314542
413	0.3871892902
414	0.3871277044
415	0.3868831603
416	0.3867754713
417	0.3865328226
418	0.3864304883
419	0.3863232313
420	0.3862000626
421	0.3860236011
422	0.3858219827
423	0.3855024087
424	0.3852211168
425	0.3848567254
426	0.3847623994
427	0.3846761214
428	0.384508888
429	0.3842859376
430	0.3838539211
431	0.3838045893
432	0.3837333159
433	0.3834678445
434	0.3832058831
435	0.3830916928
436	0.3829409007
437	0.3826996704
438	0.3824473289
439	0.3822741394
440	0.3821782899
441	0.3821234715
442	0.3820693542
443	0.3818645563
444	0.3816644909
445	0.3814144658
446	0.3812560129
447	0.3810708804
448	0.3808564915
449	0.3805826894
450	0.3801536896
451	0.3800648229
452	0.3799566896
453	0.3797876584
454	0.379565143
455	0.3792190026
456	0.3789277438
457	0.3787534783
458	0.3784132097
459	0.3781363576
460	0.377877278
461	0.3777283922
462	0.3776901537
463	0.3776632516
464	0.3774303941
465	0.3773013551
466	0.3770812274
467	0.376893669
468	0.3767801838
469	0.3765954687
470	0.3764078118
471	0.3761380247
472	0.3758837611
473	0.3756309357
474	0.37533382
475	0.3752104413
476	0.3749724028
477	0.3746515374
478	0.3744486394
479	0.3743009859
480	0.3740683963
481	0.373855588
482	0.3734980281
483	0.3732440214
484	0.3729554173
485	0.3727488536
486	0.372465016
487	0.3722776073
488	0.3720284159
489	0.3719625743
490	0.3717576027
491	0.371503164
492	0.371328122
493	0.3711656022
494	0.3710951371
495	0.3708689182
496	0.3706291293
497	0.3704532714
498	0.3702336696
499	0.3699809213
500	0.3697153114
501	0.3696060346
502	0.3693711664
503	0.3692065794
504	0.3690526896
505	0.368824618
506	0.3687419839
507	0.3684393939
508	0.3683915623
509	0.3681991287
510	0.367948559
511	0.3676626207
512	0.3675650124
513	0.3673596703
514	0.3671273048
515	0.3670288297
516	0.3668062276
517	0.3664618871
518	0.366243319
519	0.3660707404
520	0.3657677527
521	0.3656077442
522	0.3653506819
523	0.3651622248
524	0.3649917524
525	0.3648384998
526	0.3646786286
527	0.3645072049
528	0.3642041177
529	0.3640548888
530	0.3639932206
531	0.3636753184
532	0.3634713992
533	0.3633598398
534	0.3632507421
535	0.3629429588
536	0.3628725522
537	0.3624978284
538	0.3622953333
539	0.3620903751
540	0.3618744885
541	0.3616300858
542	0.3615236123
543	0.3610980856
544	0.360878843
545	0.3608240149
546	0.3605539029
547	0.3604789412
548	0.36025736
549	0.3601226823
550	0.3598871011
551	0.3596316677
552	0.3595652817
553	0.3593064519
554	0.3590888922
555	0.3589253234
556	0.3586976179
557	0.3584296406
558	0.3583438545
559	0.3580996302
560	0.3579823119
561	0.3577769406
562	0.3574795436
563	0.3574160969
564	0.3571839257
565	0.3570345157
566	0.3569438794
567	0.3567765471
568	0.3565187558
569	0.3562927366
570	0.3560461908
571	0.3559554547
572	0.3557880258
573	0.3556003078
574	0.3552911827
575	0.3552187383
576	0.3550224254
577	0.3547810715
578	0.3545357219
579	0.3541750769
580	0.3539702694
581	0.3538904044
582	0.353787069
583	0.353695683
584	0.3535363815
585	0.3534060433
586	0.3532329949
587	0.353133468
588	0.3528619696
589	0.3527332241
590	0.3525562735
591	0.3524766862
592	0.3523204027
593	0.3520622003
594	0.3519651144
595	0.351911493
596	0.351757607
597	0.3514556948
598	0.3512239225
599	0.3511784212
600	0.3509571737
601	0.3506927986
602	0.35061203
603	0.3504882158
604	0.3503377275
605	0.3502762603
606	0.3500924727
607	0.3499300861
608	0.3497781566
609	0.3496388003
610	0.3493625641
611	0.3490318186
612	0.3488239688
613	0.3487117442
614	0.3485239941
615	0.3484081683
616	0.348285989
617	0.3481607548
618	0.3480753881
619	0.347974618
620	0.3477167143
621	0.3476079653
622	0.3474236822
623	0.3473520318
624	0.3471704518
625	0.3468612675
626	0.3467724145
627	0.3465933553
628	0.346381397
629	0.3460797386
630	0.3459510975
631	0.3457152481
632	0.3452892732
633	0.3450799306
634	0.3450171951
635	0.3448867301
636	0.3447292851
637	0.3445880715
638	0.3445725231
639	0.3444222836
640	0.3442555866
641	0.3440378805
642	0.3439459834
643	0.3438382327
644	0.3436981557
645	0.3434445807
646	0.3432815552
647	0.3430753503
648	0.3428535419
649	0.342705613
650	0.3424936275
651	0.3423421812
652	0.3422571149
653	0.3419574202
654	0.3418113141
655	0.3415117634
656	0.3414088885
657	0.3412890421
658	0.3412200923
659	0.3408392613
660	0.3406802126
661	0.3404829433
662	0.3403274956
663	0.3401945537
664	0.3399054013
665	0.3397803024
666	0.3395797302
667	0.3394601038
668	0.3392891761
669	0.3390617122
670	0.3388177108
671	0.338788375
672	0.3385936654
673	0.3384767669
674	0.3380501303
675	0.3378179628
676	0.3374396274
677	0.3372495649
678	0.336994134
679	0.3368368061
680	0.3367999723
681	0.3365571566
682	0.3364374416
683	0.3362475047
684	0.3360814075
685	0.3359356193
686	0.3358768171
687	0.3356394277
688	0.3355094075
689	0.3354650377
690	0.3353013607
691	0.3351939822
692	0.3350869167
693	0.3350258254
694	0.3348941137
695	0.3345104638
696	0.3343369823
697	0.3342316661
698	0.3338723979
699	0.3336518958
700	0.3335881138
701	0.3333546203
702	0.3332058795
703	0.3330797344
704	0.3329442331
705	0.3326919059
706	0.3325368198
707	0.332482701
708	0.3324003809
709	0.3320034737
710	0.3318808337
711	0.3316584349
712	0.3315049704
713	0.3313645745
714	0.3312620231
715	0.3311431821
716	0.3309934849
717	0.3306560819
718	0.3304161365
719	0.3302991143
720	0.329898733
721	0.32963547
722	0.3294072352
723	0.3292989979
724	0.3291264248
725	0.3289804829
726	0.328918001
727	0.328804188
728	0.3287314712
729	0.3285684198
730	0.3283328039
731	0.328259922
732	0.3280487801
733	0.3279271551
734	0.3278060928
735	0.3277419354
736	0.3275602853
737	0.3274369012
738	0.3273920239
739	0.3271434833
740	0.3270997251
741	0.3269823089
742	0.3267876276
743	0.3267292775
744	0.3265496674
745	0.3263474393
746	0.3260738523
747	0.325908689
748	0.3257356617
749	0.3256450977
750	0.3254560534
751	0.3253192574
752	0.3252392202
753	0.3250311916
754	0.3249044512
755	0.3247127086
756	0.3245300636
757	0.3242887969
758	0.3241333055
759	0.3240460406
760	0.3238454414
761	0.3235951788
762	0.3235124121
763	0.323282483
764	0.3231668119
765	0.322963469
766	0.3227436015
767	0.3225958827
768	0.322371771
769	0.3222619152
770	0.322191521
771	0.3221557712
772	0.3219881905
773	0.3219065836
774	0.32180792
775	0.3217449255
776	0.3216682342
777	0.3214917341
778	0.3213360868
779	0.3211593406
780	0.3209967747
781	0.3207803848
782	0.3206311081
783	0.3204313803
784	0.3202871333
785	0.3200912745
786	0.3199840349
787	0.3199235762
788	0.3197415692
789	0.3195694073
790	0.3194874141
791	0.319285098
792	0.3189291952
793	0.3187994446
794	0.3186600448
795	0.3183762689
796	0.3181462684
797	0.3180078575
798	0.3178066966
799	0.3176199262
800	0.3172946266
801	0.3172386638
802	0.3172350461
803	0.3169601033
804	0.316866754
805	0.31680111
806	0.3166158322
807	0.3164816652
808	0.3163675344
809	0.3160776756
810	0.3159217993
811	0.31573024
812	0.3156481554
813	0.3155537435
814	0.3153702691
815	0.3153034245
816	0.3151726211
817	0.3150808439
818	0.3149203332
819	0.3148551749
820	0.3146218862
821	0.3144940754
822	0.3144094812
823	0.314301968
824	0.3139884464
825	0.3138270403
826	0.3137021386
827	0.3135513691
828	0.3134208973
829	0.3132480984
830	0.3130865159
831	0.3129989051
832	0.3128247605
833	0.3126474732
834	0.3123538076
835	0.312110429
836	0.3118399397
837	0.311708693
838	0.3115268943
839	0.3114172477
840	0.3112136136
841	0.3110373908
842	0.3109042795
843	0.3108245819
844	0.3106820701
845	0.3105964833
846	0.3104845684
847	0.3103726869
848	0.3101472524
849	0.309953944
850	0.3099372252
851	0.3098611305
852	0.3097832032
853	0.3095642637
854	0.3092615692
855	0.3091835773
856	0.3091435291
857	0.3089188089
858	0.3085479527
859	0.3083615626
860	0.3081211844
861	0.3080022754
862	0.3078572262
863	0.3076669843
864	0.3075048953
865	0.3073367823
866	0.3071582354
867	0.3071534986
868	0.3070307739
869	0.3069171681
870	0.3067577012
871	0.3066493188
872	0.3065056981
873	0.3064301717
874	0.3063347589
875	0.3061214798
876	0.3060294752
877	0.3058876238
878	0.3057333083
879	0.3056815882
880	0.305474181
881	0.3052818016
882	0.3051074456
883	0.3049986936
884	0.3049406856
885	0.3048386779
886	0.3047090705
887	0.3046640994
888	0.3046600989
889	0.3043435762
890	0.3042051723
891	0.3039869402
892	0.3038200997
893	0.3038152233
894	0.3035951839
895	0.3034359443
896	0.3033108724
897	0.3030011391
898	0.3028022275
899	0.3027195133
900	0.3026249417
901	0.3025421967
902	0.3023515925
903	0.302147907
904	0.3020621183
905	0.301864342
906	0.3016964291
907	0.3014895275
908	0.3012492619
909	0.3011908949
910	0.3010782801
911	0.3010300974
912	0.3007739198
913	0.3006122654
914	0.3004295714
915	0.3004048511
916	0.3001977704
917	0.3000574244
918	0.2999905111
919	0.2998221849
920	0.2996780222
921	0.2994568624
922	0.2994015628
923	0.2992374853
924	0.299069231
925	0.2988108156
926	0.2987038754
927	0.2985837062
928	0.2984036878
929	0.2982248753
930	0.2981046218
931	0.2979139944
932	0.2977807146
933	0.2976352815
934	0.2974222971
935	0.297286613
936	0.297250756
937	0.2970972465
938	0.2969967727
939	0.296839839
940	0.2966518718
941	0.2963986133
942	0.2962635601
943	0.2961348777
944	0.2959905981
945	0.2958129678
946	0.2956323197
947	0.2954743367
948	0.2953698581
949	0.2952215156
950	0.2950171723
951	0.2948767003
952	0.2947273663
953	0.2946149784
954	0.2944570009
955	0.294281655
956	0.2940970334
957	0.2939030017
958	0.2937041255
959	0.293678988
960	0.2935380621
961	0.2933641924
962	0.2932832092
963	0.2932017657
964	0.2931188661
965	0.2928604434
966	0.2926945758
967	0.2924630198
968	0.2923120518
969	0.292191446
970	0.2920790674
971	0.2920075369
972	0.2918506842
973	0.2917001832
974	0.2915795327
975	0.2914387957
976	0.2913106569
977	0.2912045421
978	0.2910114567
979	0.2908745927
980	0.290745257
981	0.2906871076
982	0.2906822789
983	0.2905376382
984	0.2903941256
985	0.2902925918
986	0.2901800998
987	0.2900632721
988	0.2899263142
989	0.289844446
990	0.2898393047
991	0.2898123139
992	0.2897915018
993	0.2897878561
994	0.2896431241
995	0.2895467516
996	0.2894034241
997	0.2892401919
998	0.289022546
999	0.2888714589
