User Rating Count,Price,Age Rating,Size,Original Release Date,Current Version Release Date,Rate,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,sub_sia,desc_word_count,excitement_score,attractive_score,dev_freq,dev_avg,icon_objects,Icon1,Icon2,Icon3,Icon4,Icon5,Icon6,Icon7,Icon8,lowest_review,highest_review,average_review
6681,0.0,12.0,1018513408,735655.0,737271.0,1,3006.0,1390.0,1616.0,8,0.99,99.99,24.74,3,0.0,1,0.0,507,0.264,0.0034662045060658577,2,1.4943318376783883,4042.0,-0.35121251333618736,0.28546894675828993,0.04118381029980199,-0.08524575037915531,0.23856049225885517,0.01121164840273433,-0.08580455725607478,-0.03468922926998158,-0.9662,0.9839,0.4028636363636364
51911,0.0,12.0,165534720,735907.0,737266.0,2,2754.0,1395.0,1359.0,10,1.99,19.99,6.1899999999999995,4,0.545,5,0.0,235,0.266,0.0,64,1.5976695130044276,3613.0,-0.25904127684060146,-0.05050786559765377,-0.08460669025139478,-0.02193581523877057,0.06445379071285338,-0.02827468687393208,0.053416159328871816,-0.017581864579831307,0.8807,0.9958,0.9875571428571429
10,0.0,4.0,1503232,734002.0,735390.0,2,4659.0,3271.0,1388.0,1,0.0,0.0,0.0,3,0.0,1,0.0,330,0.054000000000000006,0.0,1,1.5046544558940846,577.0,0.3498811400871824,-0.12997892574557135,0.09014896069277106,-0.1076941573699225,-0.00695826517053439,-0.25378859240190366,-0.027641218824583758,-0.11675642787401519,0.0,0.946,0.922625
165,0.0,9.0,84757504,736155.0,737206.0,2,2506.0,1455.0,1051.0,9,0.99,2.99,1.4344444444444446,2,0.0,3,0.565,84,0.22699999999999998,0.0,2,1.6388570863658862,628.0,-0.2247410733497105,-0.0070380193395022175,-0.06463758599230879,-0.08356630521019263,-0.07023991132795665,0.014211915575804385,0.034556268209239197,0.0306240839817041,0.7564,0.9893,0.897425
2566,0.0,12.0,137001984,736806.0,737263.0,2,1855.0,1398.0,457.0,10,0.99,99.99,37.589999999999996,4,0.565,5,0.0,247,0.197,0.0,2,1.4943318376783883,1863.0,-0.2483442479140819,-0.09142658833191605,-0.07423059360854643,-0.0039244589852772335,-0.002297306639675277,0.011741099045386762,-0.05138963377765471,-0.07653231816228209,-0.8963,0.9477,0.2914785714285714
187,0.0,4.0,59492352,736074.0,736074.0,2,2587.0,2587.0,0.0,7,0.99,4.99,2.275714285714286,9,0.0,1,0.0,209,0.196,0.0,64,1.5976695130044276,1056.0,0.03168622700256464,-0.0927865939952648,-0.07340065646994992,-0.0693156223902592,-0.1810985977923791,-0.1241552821673505,-0.022785496988028384,-0.07529643544844884,-0.2755,0.9584,0.7704142857142856
90386,0.0,9.0,43073536,733512.0,736207.0,1,5149.0,2454.0,2695.0,10,0.99,4.99,1.3900000000000001,2,0.0,1,0.0,331,0.311,0.0,2,1.4943318376783883,1603.0,0.12287100803396031,0.04618991234777121,0.16709491510274244,-0.002126816151367006,0.05204576112351265,-0.06836737390823239,0.3422710411454649,0.0060556350370316175,0.8706,0.9962,0.9429
8,0.0,4.0,44268544,736527.0,736674.0,2,2134.0,1987.0,147.0,1,0.99,0.99,0.99,5,0.0,3,0.0,81,0.266,0.0,4,1.5720054442193574,3773.0,-0.14199809777651679,-0.019999772122610015,-0.16674078250187377,-0.07442757333478286,0.057484682382412014,-0.09556383979652097,-0.010118395399961577,0.016491323722732064,0.5106,0.5106,0.5106
7,0.0,4.0,22876160,735884.0,735991.0,1,2777.0,2670.0,107.0,1,1.99,1.99,1.99,13,0.248,1,0.0,114,0.28500000000000003,0.0,2,1.4943318376783883,664.0,-0.14075342519353753,-0.07703024899193756,0.32244632031617004,0.16506808788302213,-0.11080207811186012,0.07665514560335637,-0.08277175669787105,-0.059760431508067285,-0.25,0.8625,0.7437
125,0.99,4.0,64333824,733257.0,736970.0,0,5404.0,1691.0,3713.0,1,0.0,0.0,0.0,1,0.0,1,0.0,129,0.208,0.0,1,1.5046544558940846,85.0,-0.2285121141360677,0.32874967176246583,0.3026813494882593,0.15267444420898157,0.28764862255982504,0.21474970016302555,-0.2948845410248447,-0.25996393282626584,0.3263,0.936,0.9204333333333333
822,0.0,12.0,777995264,736201.0,737270.0,2,2460.0,1391.0,1069.0,10,2.99,49.99,12.989999999999998,2,0.0,5,0.437,212,0.267,0.012448132780082987,1,1.5046544558940846,1052.0,-0.22563267032765785,0.10694348009466954,-0.10920748203339405,-0.007935921678562365,0.13720756381903007,-0.0459320843955827,0.07177458812099283,0.0433164934964457,-0.8876,0.9671,0.65935
19,0.0,4.0,4449280,734180.0,735940.0,1,4481.0,2721.0,1760.0,1,0.0,0.0,0.0,3,0.0,1,0.0,212,0.214,0.0,1,1.5046544558940846,177.0,0.5438000073058844,-0.1214154587563958,0.027808581570137658,0.0740836708849764,0.004520439019896377,-0.024513607567557952,-0.035264035435295604,0.01927200008641302,0.121,0.6705,0.37798
77,0.0,4.0,64882688,736573.0,736654.0,1,2088.0,2007.0,81.0,6,0.99,24.99,7.656666666666666,2,0.0,4,0.545,246,0.269,0.0035714285714285713,64,1.5976695130044276,969.0,-0.16287836655805255,-0.1294518196395367,0.06326844934600168,-0.0560286797340986,-0.08140092048968584,-0.005303994893893028,0.030142935812326525,-0.018325719837614773,0.7351,0.9929,0.9579875
283035,0.0,4.0,443974656,736146.0,737271.0,2,2515.0,1390.0,1125.0,10,1.99,19.99,8.389999999999999,5,0.0,4,0.0,157,0.254,0.0,2,1.6388570863658862,3062.0,-0.1872377648554993,-0.17184854991196735,-0.12828824614287235,0.00960150450688806,-0.1616374280709733,0.013596142404086735,0.045423173222024514,-0.1064791241694708,-0.8358,0.996,0.97348
31157,0.0,12.0,74456064,734898.0,737263.0,2,3763.0,1398.0,2365.0,1,1.99,1.99,1.99,1,0.0,3,0.0,274,0.267,0.0,2,1.6388570863658862,1424.0,0.24014671481254,0.02785784872010587,-0.17144975796939427,-0.12592892291698637,0.09017753813334727,0.046419512738721094,0.015047133655515653,0.052921047428936684,-0.9168,0.991,0.949925
