lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent
1,1,1,1,1,1,1,1,1,1,2,12
1,0,1,0,1,1,1,0,1,1,1,0
1,1,1,1,1,1,0,1,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,1,1,2,20
1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,12
1,0,1,0,1,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,1,0,2,0
1,1,1,1,0,1,0,1,1,0,0,1
1,1,1,1,0,0,0,1,1,1,0,0
1,1,1,1,0,0,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,0,0,0,1,1,1,0,0
0,0,1,0,1,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,2,14
1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,1,0,1,0
1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,2,5
0,0,0,0,1,0,0,0,0,0,1,0
1,1,1,1,1,1,0,1,1,0,1,0
1,1,1,1,1,1,0,1,1,1,2,0
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,3
0,0,0,0,1,1,0,0,0,0,2,0
0,0,0,0,0,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,2,0
0,1,0,0,1,0,0,0,0,0,2,0
1,1,1,1,1,1,0,1,1,1,2,4
0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,18
1,0,1,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,12
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,1,2,18
1,1,1,0,0,0,0,1,0,0,0,0
1,1,1,1,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,2,0
1,1,1,1,1,1,1,1,1,1,2,18
1,1,1,1,1,1,1,1,1,1,2,12
0,0,0,0,1,0,0,0,0,0,2,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,1,1,1,1,0,1,1,1,2,6
1,1,1,1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,1,1,1,0,1
0,0,0,0,1,1,0,0,1,0,2,0
1,1,1,1,1,1,1,1,1,1,2,9
1,1,1,0,1,1,0,1,1,1,2,0
1,1,1,1,1,0,0,1,1,1,1,3
0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0,0,2,0
1,1,1,1,1,1,0,1,1,0,2,3
1,1,1,0,0,0,0,1,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1,2
