User Rating Count,Price,Age Rating,Size,lowest_review,highest_review,average_review,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_sia,sub_sia,excitement_score,attractive_score,Icon1,Icon2,Icon3,Icon4
822,0.0,12.0,777995264,-0.8876,0.9671,0.5403538461538462,2447,1378,1069,1,4.092228864218616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10,2.99,49.99,12.989999999999998,0.0,0.437,0.267,0.012448132780082987,-0.24028633997128174,0.027428409387642187,-0.1336985464912372,0.01114478177541588
9,0.0,4.0,122431488,-0.5574,0.9952,0.22878749999999998,2093,1938,155,4,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.99,9.99,3.323333333333333,0.0,0.706,0.2,0.0038022813688212928,-0.36700209034947706,-0.042739991661147024,-0.07221882933259254,-0.06272924511057866
46,4.99,12.0,402222080,-0.9501,0.9914,0.7524,1476,1449,27,6,4.128644314868804,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.99,2.99,2.3899999999999997,0.0,0.0,0.307,0.003236245954692557,-0.29716680926033096,0.06202407059063438,-0.09171052082781404,-0.03466380670087715
32,0.0,12.0,112832512,0.0,0.9665,0.34765999999999997,3604,2949,655,2,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,9.0,6,5.99,99.99,47.656666666666666,0.0,0.0,0.178,0.017241379310344827,-0.22517876759072586,0.2875401123153979,-0.04481146938683891,0.03330861334755636
108,0.0,4.0,16125952,-0.824,0.9931,0.6863583333333333,2272,1467,805,11,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10,0.99,3.99,2.3899999999999997,0.0,0.0,0.253,0.0,0.4649033132042317,-0.04726394666021616,-0.10880057843887948,-0.05525631330079516
139,0.0,12.0,99689472,0.2023,0.9871,0.79006,3677,2754,923,5,4.128644314868804,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6,0.99,24.99,9.823333333333332,0.231,0.0,0.28200000000000003,0.005689900426742532,-0.08351031485340908,-0.1047078525061653,-0.21283369259348575,0.05421640970347846
14,0.0,4.0,97103872,0.0,0.34,0.09206,2421,2421,0,8,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,0.99,5.99,2.2900000000000005,0.0,0.0,0.287,0.0,0.01990491974070831,0.1375448383159272,0.07066031280022293,-0.12618679191725535
13,5.99,9.0,2447641600,-0.4404,0.9732,0.62908,2335,2335,0,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.292,0.0,0.20927746683559223,-0.17088049370304187,-0.1519266477838959,-0.05496551044534998
10,0.99,4.0,47990784,0.6177,0.9968,0.8789874999999999,2083,1502,581,1,4.092228864218616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.20400000000000001,0.0018115942028985507,0.2646899564400201,-0.16419411319905103,0.21660974645445544,0.010932924350561823
13,0.0,4.0,121188352,-0.8074,0.9382,0.15805000000000002,2374,1411,963,1,4.092228864218616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.99,2.99,2.99,0.483,0.414,0.278,0.004464285714285714,0.16773518602530973,-0.179049642248208,-0.1590968251529103,-0.0022304977833057654
233,0.0,4.0,112000000,-0.6908,0.9571,0.5005444444444445,2830,1536,1294,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,5,4.99,99.99,36.989999999999995,0.0,0.0,0.236,0.0,0.025424151734616984,-0.14119433572011367,-0.15588622832854326,-0.04051389847676644
139,0.0,4.0,18542592,-0.2263,0.9956,0.2990875,3576,2707,869,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.192,0.0,-0.13410544461492427,-0.15666571220918535,-0.20472960065556073,-0.017264557114754334
57,0.0,4.0,138716160,0.0423,0.8591,0.5759,1624,1624,0,8,4.128644314868804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.362,0.0,0.307,0.0,0.7584261502633958,0.03732662050829409,-0.027394247207025907,-0.05536141660162097
2738,0.0,4.0,10511989,-0.1341,0.891,0.6207714285714285,4784,4129,655,4,4.128644314868804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.99,0.99,0.99,0.0,0.0,0.22599999999999998,0.0,-0.19136242858902786,0.09770725335726377,-0.09758670227806962,0.09267257183432846
3724,0.0,9.0,74314752,-0.4215,0.9982,0.7546499999999999,2505,2485,20,88,4.426136363636363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.99,9.99,4.290000000000001,0.0,0.0,0.221,0.0,0.5882437108132026,-0.01692156568008725,0.010649752412548636,-0.05799450038231351
10384,0.0,12.0,19831723,0.9405,0.9805,0.955725,4568,4352,216,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.99,99.99,28.156666666666666,0.0,0.0,0.23399999999999999,0.0,-0.3198809448298861,-0.057263442415370853,0.005897417451484831,-0.12652811839581446
509,0.0,9.0,285711360,0.34,0.9955,0.8585333333333334,2147,1413,734,1,4.092228864218616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1.99,49.99,11.190000000000001,0.0,0.0,0.28099999999999997,0.0,-0.15487934957619193,0.3354265215141989,-0.01517392109801093,-0.031295259142801166
274,0.0,12.0,130053120,-0.7717,0.9959,0.6231375,3497,2184,1313,1,4.092228864218616,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.99,5.99,2.19,0.0,0.0,0.25,0.00392156862745098,-0.2537173685152922,-0.12304488544730569,-0.20329535482926406,0.00896823068653695
34,0.0,9.0,88822784,-0.6318,0.9601,0.45215,3344,2218,1126,3,4.128644314868804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8,0.99,99.99,25.365,0.545,0.0,0.256,0.001949317738791423,0.363788346697,-0.019291392259444914,-0.1053018189554583,0.004162001807808577
