User Rating Count,Price,Age Rating,Size,Average User Rating,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_NL,lang_PT,lang_RU,lang_TR,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,Description_PCA_0,Description_PCA_1,Subtitle_PCA_0,Subtitle_PCA_1,Name_PCA_0,Name_PCA_1,Icon1,Icon2,Icon3,Icon4,excitement_score,attractive_score,name_sia,sub_sia,lowest_review,highest_review,average_review
424,11.99,12.0,2547534848,4.5,1590,1457,-133,4,4.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.22104509780784945,-0.17692694708836856,-0.021670246852264517,-0.03282458053599156,-0.020810991303711317,-0.03915994568788646,-0.13443695985449916,-0.04957855687292829,0.024847337306568844,-0.0739163880978937,0.116,0.004464285714285714,0.0,0.0,-0.533,0.9917,0.78874
2960,0.0,4.0,189554688,4.5,3010,1405,-1605,5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2.99,14.99,5.590000000000001,-0.18544861736482846,-0.24557462895285287,-0.03068513760119186,-0.021194050029919587,-0.12348747253294827,0.14831793013997535,-0.11082409892973799,-0.08173044780737015,-0.06444075516113353,-0.06548524062316474,0.326,0.0040650406504065045,0.0,0.0,-0.9019,0.9962,0.6752909090909092
272,1.99,4.0,20567040,4.5,1989,1957,-32,1,4.128473804100228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,-0.21458841774621573,-0.1520086205743311,-0.018693327627859264,-0.02858327105848566,-0.013919307265908391,-0.03680546093106262,-0.07519491864039927,-0.0023077046063660553,0.1606636487107224,0.005680558067507791,0.107,0.014705882352941176,0.0,0.688,0.2732,0.9925,0.7716800000000001
648,0.0,12.0,1866854400,4.5,1363,1363,0,2,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,10,2.99,99.99,34.089999999999996,-0.1632425459147691,-0.1653054993075846,-0.02318041697088322,-0.00663132225055242,-0.020810991303714887,-0.039159945687888255,-0.1579035627146385,-0.05173079262293191,-0.05733033673665203,-0.03669108022998303,0.173,0.005952380952380952,0.0,0.783,-0.7354,0.9912,0.5657000000000001
72,0.0,4.0,87182336,4.5,2857,2140,-717,4,4.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.99,1.99,1.99,-0.18490314777399308,-0.15948932198924942,-0.05685692218857176,0.19169028751701522,0.03043698381778265,-0.0466204200154421,-0.14856989964761963,-0.038392396724529064,-0.1508434424729925,-0.004294117488885163,0.16999999999999998,0.0,0.0,0.623,0.8074,0.978,0.923925
62,0.0,12.0,65179648,4.0,2588,2542,-46,6,3.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.04007938253163214,-0.2725675089106211,-0.017837400283634532,-0.02698814809755365,-0.028500004882269225,-0.11992562194584805,-0.09996705285518434,-0.03470069028282777,0.0857475046430673,0.0024146695551720966,0.221,0.0,0.605,0.0,-0.6705,0.8221,0.32531
827,2.99,12.0,173205504,4.0,4068,1368,-2700,19,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.99,1.99,1.99,-0.24594450771268656,-0.18163500705107913,-0.017837400283634532,-0.02698814809755365,-0.029694445087561475,-0.07050784990064354,-0.030275223437602253,-0.05888103595004284,0.07637013884007877,-0.111907663962067,0.154,0.008620689655172414,0.0,0.0,-0.9064,0.6571,0.14213
2072,0.0,4.0,62636032,4.0,3626,1800,-1826,1,4.128473804100228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,10,4.99,99.99,34.989999999999995,-0.2264419618244489,-0.159079338638149,-0.017837400283634532,-0.02698814809755365,-0.031485829779531384,-0.04723521466800208,-0.13874708539963726,-0.04055357501795113,-0.03215275811562822,0.036096898331331694,0.30200000000000005,0.0,0.0,0.0,-0.8074,0.9329,0.41211000000000003
8545,0.0,12.0,85752832,4.5,4319,1363,-2956,1,4.128473804100228,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3,3.99,7.99,6.656666666666666,-0.13339775729645925,-0.1784164727972041,0.08521084377666047,0.13360411551358273,-0.020810991303713177,-0.03915994568788865,-0.05621078248092366,-0.0017511808806243924,0.24045501055511098,-0.028520291730214593,0.219,0.0,0.0,0.0,0.161,0.9904,0.8204000000000001
1861,0.0,12.0,90400768,4.5,2627,1828,-799,1,4.128473804100228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,9,1.99,14.99,5.8788888888888895,-0.19576219760588187,-0.16481999277705742,-0.03182432746404237,0.0798362216985114,-0.037294468530046025,-0.03471515373516092,-0.026390978641093212,0.09733731346672861,-0.11281417660275964,-0.03264877282315466,0.399,0.0,0.565,0.808,-0.5747,0.9916,0.56712
