User Rating Count,Price,Age Rating,Size,lowest_review,highest_review,average_review,game_age,last_update,maintaning_period,dev_freq,dev_avg,genre_Action,genre_Adventure,genre_Board,genre_Card,genre_Casual,genre_Education,genre_Family,genre_Puzzle,genre_Role Playing,genre_Simulation,genre_Sports,genre_infrequent,langs_count,lang_DE,lang_ES,lang_FR,lang_IT,lang_JA,lang_KO,lang_PT,lang_RU,lang_ZH,lang_infrequent,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_sia,sub_sia,excitement_score,attractive_score,Icon1,Icon2,Icon3,Icon4
310,0.0,4.0,113754112,-0.08901989703243283,,0.5769129743918657,3630,3091,539,11,3.9341083308338747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0.99,7.99,3.3900000000000006,0.342,0.0,0.177,0.0037174721189591076,-0.4319437456898153,-0.17990378566163645,-0.14293786209081533,0.052821857450400835
50,0.0,4.0,92662784,,0.8998756974546521,,2658,2484,174,1,4.040987780040733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.11,0.0,-0.1138974153143307,0.290258038147141,-0.1432641066821206,0.020533312307866817
10241,3.99,12.0,1139130368,,0.9393119253893024,,2310,1404,906,1,4.040987780040733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16,1.99,35.99,9.677500000000002,0.0,0.0,0.266,0.006802721088435374,-0.2535650123296137,-0.024932664210403473,0.0638155163858427,-0.09695628218901413
13,0.0,9.0,206548992,-0.15906009984548017,,0.5429202602685157,1885,1866,19,1,4.040987780040733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.99,9.99,4.24,0.643,0.516,0.371,0.0016722408026755853,-0.22006832507566332,-0.32304406058971463,-0.12429797043477774,0.08240866153204875
505,1.99,4.0,56049664,-0.07013929790776077,,0.5825317990987534,3615,2401,1214,3,4.082504200750426,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.3884175011560983,0.048556114184230476,-0.15563503794028655,-0.2224164788236511
5,0.0,4.0,55930880,-0.08885345237046377,,0.52530090240601,3063,3063,0,1,4.040987780040733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.99,4.99,4.99,0.0,0.0,0.224,0.0,-0.12482590701416817,0.177645908681483,-0.05302315373800505,0.08079980368742286
52,0.0,9.0,258894848,-0.160467109127492,,0.6067189605978955,1521,1453,68,2,4.0669412574910595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.99,19.99,6.790000000000001,0.0,0.692,0.215,0.0,-0.1265534542173662,0.09407241612188663,0.01630330076502029,0.031144776475035416
11,0.0,4.0,15601664,-0.044229333429392934,,0.5733576235926661,3352,2918,434,1,4.040987780040733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.99,2.99,1.6150000000000002,0.0,0.0,0.23299999999999998,0.005025125628140704,-0.09401406454801682,0.13384929811311308,-0.10778519088209501,-0.09046258137699793
7,0.0,4.0,18460672,-0.05009489547625322,,0.5371307560342524,3344,3266,78,4,3.841540657604481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.99,3.99,2.5614285714285714,0.478,0.0,0.35400000000000004,0.002564102564102564,0.09479379780548264,0.1787446314910668,0.022846148107725492,-0.07644316085902866
29,0.0,4.0,53471232,-0.04509511360236486,,0.5357410765723484,2146,1977,169,1,4.040987780040733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.99,1.99,1.99,0.476,0.655,0.28900000000000003,0.0,0.18947781342056913,0.42169700624314455,-0.0713806447157944,-0.028687774232555686
