User Rating Count,Price,Age Rating,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,desc_word_count,excitement_score,attractive_score,size_log,dev_freq,dev_avg,lowest_review,highest_review,average_review
8.0,0.0,4.0,2799.0,1556.0,1243.0,1,0.0,0.0,0.0,3,0.0,5,405,0.155,0.0,5.509960545354969,8,1.361973513304399,0.8066,0.8519,0.8368000000000001
64.0,0.0,4.0,3129.0,1767.0,1362.0,10,0.99,19.99,6.090000000000001,4,0.0,3,472,0.217,0.0,5.599074546017139,1,1.5046544558940846,-0.6597,0.5859,0.13572857142857142
109.0,0.0,4.0,3683.0,2618.0,1065.0,1,0.99,0.99,0.99,10,0.0,1,48,0.164,0.0,2.0177363362431566,2,1.3498065889908903,-0.1921,0.9849,0.43622000000000005
27.0,0.0,4.0,2505.0,2505.0,0.0,1,0.0,0.0,0.0,5,0.524,1,484,0.149,0.0,5.215806335068176,2,1.2052813403033922,-0.0762,0.91,0.5983111111111111
457.0,0.0,4.0,2354.0,2209.0,145.0,5,1.99,39.99,15.389999999999997,8,0.0,1,227,0.257,0.0,5.120657949073839,11,1.654415527609498,0.34,0.9812,0.8137285714285714
175.0,0.0,4.0,2517.0,2321.0,196.0,1,0.0,0.0,0.0,2,0.0,1,220,0.173,0.0,4.143712591141564,2,1.0607560916158942,-0.4184,0.8834,0.43810000000000004
42.0,0.0,4.0,2229.0,2216.0,13.0,4,0.99,4.99,2.74,5,0.365,1,53,0.29700000000000004,0.0,4.378757296206211,2,1.4943318376783883,-0.4423,0.8805,0.5412714285714285
1542.0,0.0,4.0,2664.0,2040.0,624.0,1,6.99,6.99,6.99,2,0.0,4,100,0.247,0.0,3.9776489351226716,1,1.5046544558940846,-0.8216,0.9853,0.4344777777777778
2091.0,0.0,9.0,4683.0,1905.0,2778.0,1,0.99,0.99,0.99,2,0.0,1,101,0.158,0.0,3.5672811495663934,1,1.5046544558940846,0.5413,0.9969,0.88346
55.0,0.99,9.0,1986.0,1986.0,0.0,1,0.0,0.0,0.0,5,0.0,1,119,0.237,0.0,4.3624049830006255,5,1.5266672657382379,-0.2654,0.994,0.47044444444444444
775.0,0.0,9.0,2612.0,2612.0,0.0,10,0.99,49.99,8.59,15,0.0,1,190,0.159,0.0,4.356106388850095,6,1.5499748006084448,0.5719,0.9771,0.8463142857142858
711.0,0.0,4.0,2404.0,2236.0,168.0,1,1.99,1.99,1.99,8,0.351,1,25,0.13,0.0,3.3848902061501516,1,1.5046544558940846,-0.3182,0.9299,0.32139999999999996
170.0,0.0,4.0,2639.0,2639.0,0.0,1,0.0,0.0,0.0,5,0.434,1,12,0.159,0.0,3.3470244362847645,2,1.4943318376783883,-0.4767,0.7548,-0.07338571428571429
7102.0,0.0,12.0,3327.0,1617.0,1710.0,10,1.99,99.99,20.689999999999998,3,0.0,1,233,0.303,0.0,4.7673695764387025,1,1.5046544558940846,-0.8522,0.9915,0.6447777777777778
21.0,0.0,4.0,3239.0,2600.0,639.0,1,0.0,0.0,0.0,3,0.643,1,181,0.211,0.015306122448979591,3.177093369252821,9,1.3933152467774015,-0.304,0.6908,0.11709999999999997
31.0,0.0,12.0,2570.0,2570.0,0.0,1,0.0,0.0,0.0,6,0.8959999999999999,1,631,0.20800000000000002,0.002652519893899204,4.0237504093681755,6,1.3287666487205556,-0.4767,0.7906,0.19560999999999998
19.0,0.0,4.0,2430.0,1892.0,538.0,1,0.99,0.99,0.99,4,0.0,4,194,0.232,0.016260162601626018,4.299868624658334,1,1.5046544558940846,-0.0444,0.9869,0.8030444444444444
3112.0,0.0,4.0,2451.0,2416.0,35.0,1,0.0,0.0,0.0,2,0.0,1,169,0.297,0.0,3.919325556777207,1,1.5046544558940846,0.8172,0.9927,0.9214800000000001
22.0,0.0,17.0,1944.0,1894.0,50.0,5,0.99,15.99,8.59,5,0.0,1,170,0.22300000000000003,0.0,5.011608473736633,10,1.5327914070638544,0.0,0.8845,0.476425
