User Rating Count,Price,Age Rating,Size,game_age,last_update,maintaning_period,purchases_count,lowest_purchase,highest_purchase,average_purchase,name_word_count,name_sia,sub_word_count,sub_sia,desc_word_count,excitement_score,attractive_score,icon_objects,Icon1,Icon2,Icon3,Icon4,Icon5,Icon6,Icon7,Icon8,dev_freq,dev_avg,lowest_review,highest_review,average_review
68,2.99,9,55430144,4452,1938,2514,1,0,0,0,6,0.494,1,0,163,0.287,0.005,1536,-0.243462532,0.168999369,0.012526398,0.164395388,0.187895149,0.033705003,-0.003818867,-0.250020527,1,1.504654456,-0.8176,0.9714,0.289557143
801,0,9,19450880,2585,2579,6,1,2.99,2.99,2.99,6,0.394,1,0,99,0.381,0.022556391,288,0.370199278,0.420742184,0.135727333,0.102063687,-0.073367328,0.086913011,0.035583076,0.040797287,2,1.638857086,-0.4019,0.9773,0.511357143
96,0,4,23794688,3930,2315,1615,1,0,0,0,7,0,1,0,165,0.201,0.004901961,272,-0.289384416,0.410342846,0.324074338,-0.169235123,0.025143755,0.121699014,-0.034407751,0.061129452,5,1.334174485,-0.3182,0.9274,0.411366667
8,0,4,247141376,2794,1551,1243,1,0,0,0,3,0,5,0.429,405,0.155,0,1156,0.631658115,-0.057710825,0.021519,-0.140826142,-0.049789633,-0.13066769,-0.079219125,-0.062641429,8,1.361973513,0.8066,0.8519,0.8368
64,0,4,270176256,3124,1762,1362,10,0.99,19.99,6.09,4,0,3,0,472,0.217,0,3384,0.261818486,0.199622587,-0.133402963,0.093800803,-0.047395525,0.078717806,0.01889882,0.024004447,1,1.504654456,-0.6597,0.5859,0.2683
109,0,4,7521280,3678,2613,1065,1,0.99,0.99,0.99,10,0,1,0,48,0.164,0,4511,-0.237865791,0.051773934,-0.140919295,0.043733936,-0.064132121,0.008918525,-0.008258337,0.069938328,2,1.349806589,-0.1921,0.9849,0.43622
27,0,4,184160256,2500,2500,0,1,0,0,0,5,0.524,1,0,484,0.149,0,1861,0.284967324,0.072703839,-0.24475771,-0.023238499,0.062199699,-0.040611514,0.007278001,0.010460783,2,1.20528134,-0.0762,0.91,0.682625
457,0,4,167445504,2349,2204,145,5,1.99,39.99,15.39,8,0,1,0,227,0.257,0,1458,0.071891456,-0.001944657,0.039762462,-0.056484137,0.079631126,-0.107009985,0.104653698,-0.004471438,11,1.654415528,0.34,0.9812,0.892683333
175,0,4,63036416,2512,2316,196,1,0,0,0,2,0,1,0,220,0.173,0,238,0.097516414,-0.334049291,0.175938444,0.003745671,0.016019101,0.084383754,-0.061644363,0.031273094,2,1.060756092,-0.4184,0.8834,0.4381
42,0,4,79738880,2224,2211,13,4,0.99,4.99,2.74,5,0.365,1,0,53,0.297,0,867,0.120873348,-0.054283195,0.120416162,-0.081941402,-0.002443295,-0.045409526,-0.007421661,-0.016105403,2,1.494331838,-0.4423,0.8805,0.7052
1542,0,4,53391360,2659,2035,624,1,6.99,6.99,6.99,2,0,4,0.6,100,0.247,0,361,0.509630421,-0.016174946,0.029788057,-0.004113838,-0.033765919,0.099943439,-0.002225786,0.015451116,1,1.504654456,-0.8216,0.9853,0.434477778
2091,0,9,35420160,4678,1900,2778,1,0.99,0.99,0.99,2,0,1,0,101,0.158,0,1614,0.587348147,-0.185867392,-0.095525531,0.020073751,0.017157935,0.356223415,-0.00709164,-0.043911036,1,1.504654456,0.5413,0.9969,0.969
55,0.99,9,78445568,1981,1981,0,1,0,0,0,5,0,1,0,119,0.237,0,1609,-0.305271121,0.174616768,0.062506986,0.191301234,-0.210488105,0.002444497,-0.098453375,-0.099319785,5,1.526667266,-0.2654,0.994,0.470444444
775,0,9,77953024,2607,2607,0,10,0.99,49.99,8.59,15,0,1,0,190,0.159,0,1421,0.534357289,-0.002117116,-0.097424711,-0.094604022,0.010764877,0.019396653,0.02485066,-0.094229326,6,1.549974801,0.5719,0.9771,0.89205
711,0,4,29514752,2399,2231,168,1,1.99,1.99,1.99,8,0.351,1,0,25,0.13,0,1058,-0.331427333,0.054904132,0.160218062,-0.185787383,-0.001734488,0.013411918,0.044673791,0.071123044,1,1.504654456,-0.3182,0.9299,0.3214
170,0,4,28418048,2634,2634,0,1,0,0,0,5,0.434,1,0,12,0.159,0,331,-0.052838432,-0.268550046,0.194295703,0.032750882,0.08692037,0.04424422,-0.084587747,-0.119629162,2,1.494331838,-0.4767,0.7548,-0.073385714
7102,0,12,117609472,3322,1612,1710,10,1.99,99.99,20.69,3,0,1,0,233,0.303,0,1875,-0.092097386,0.459170971,0.122039141,0.173527456,0.024771731,0.10267316,-0.158153908,0.100448584,1,1.504654456,-0.8522,0.9915,0.945871429
21,0,4,23976960,3234,2595,639,1,0,0,0,3,0.643,1,0,181,0.211,0.015306122,2608,-0.225866768,-0.2191588,0.090890427,-0.127910222,-0.019053049,0.049359821,0.020630019,0.090006099,9,1.393315247,-0.304,0.6908,0.1171
31,0,12,55910400,2565,2565,0,1,0,0,0,6,0.896,1,0,631,0.208,0.00265252,3111,-0.226581751,0.080085888,-0.122245992,0.246609149,0.07172536,-0.074654257,-0.0296919,-0.135049806,6,1.328766649,-0.4767,0.7906,0.19561
19,0,4,73690112,2425,1887,538,1,0.99,0.99,0.99,4,0,4,0,194,0.232,0.016260163,1194,-0.287612983,-0.083457836,-0.02500489,-0.058964093,0.160806326,-0.014618264,-0.064582445,0.025758138,1,1.504654456,-0.0444,0.9869,0.908975
3112,0,4,50366464,2446,2411,35,1,0,0,0,2,0,1,0,169,0.297,0,1332,0.508925982,-0.071030501,-0.165386872,0.045386267,0.075500852,0.195607346,0.069148847,-0.060701779,1,1.504654456,0.8172,0.9927,0.92148
22,0,17,150146048,1939,1889,50,5,0.99,15.99,8.59,5,0,1,0,170,0.223,0,1826,0.058526085,0.180781233,-0.096741565,0.151656539,-0.110121522,-0.054191332,0.064300566,0.078562962,10,1.532791407,0,0.8845,0.635233333
10,0,4,156101632,2565,1444,1121,7,2.99,14.99,6.418571429,2,0,3,0.592,584,0.224,0,2060,0.023929073,0.010777917,-0.04274765,0.209153729,0.159107937,0.034560311,0.081768863,-0.150045288,1,1.504654456,-0.9289,0.9693,0.700584615
1524,0,4,181060608,2649,1402,1247,10,0.99,29.99,8.09,6,0,4,0,259,0.296,0,4006,-0.31651359,-0.056806173,-0.033605656,-0.069737456,-0.062617733,0.054462182,-0.01235716,-0.057085782,2,1.494331838,-0.4404,0.9781,0.47883
37,0,4,257270784,1700,1488,212,5,1.99,44.99,15.59,3,0,7,0,148,0.195,0,2629,0.001868201,0.107864936,-0.123998841,-0.027688679,-0.146667926,0.048530114,0.004960534,0.000653368,1,1.504654456,0,0.7713,0.420414286
13,2.99,4,80846848,2259,1658,601,1,0,0,0,3,0,1,0,173,0.083,0.004587156,4965,-0.01878777,-0.088091815,-0.073776311,0.18117848,0.243844409,-0.021016515,-0.074524755,0.091547222,1,1.504654456,-0.7003,0.9843,0.136916667
2856,0,9,1135753216,1935,1398,537,9,0.99,99.99,35.65666667,2,0,5,0,204,0.236,0.004065041,314,-0.187743285,0.374118638,0.057252279,0.063308752,0.106372072,0.023311163,0.060997256,-0.069118473,1,1.504654456,-0.8263,0.9912,0.520922222
277,0,12,98282496,2418,1646,772,5,0.99,19.99,7.59,4,0,7,0.375,208,0.196,0,2582,-0.296161399,0.105494653,0.010585905,-0.039776554,-0.096876124,0.018980398,0.010139447,0.002366827,3,1.444509137,0.2598,0.9935,0.68434
17,0,12,25468928,3178,3178,0,1,0,0,0,4,0,1,0,59,0.404,0,4698,-0.242800861,-0.136489885,0.002337155,0.149077587,0.206771255,-0.064237456,0.020090236,-0.242877476,2,1.349806589,0,0.5859,0.31645
73,0,4,29518848,3404,1938,1466,1,0,0,0,3,0,3,0,147,0.293,0,2709,-0.23582071,-0.019317404,-0.099002344,-0.156569827,0.035111452,-0.047925173,0.012327824,0.11531089,2,1.638857086,0,0.9715,0.519116667
486,3.99,4,324401152,3700,1950,1750,1,0,0,0,3,0,6,0.39,309,0.266,0.008571429,3080,-0.206560386,-0.108174307,-0.062274041,0.111826161,-0.139865456,0.03544341,-0.038711288,-0.102894629,5,1.654995786,0.2732,0.9876,0.72536
1509,0,4,36819968,4204,1816,2388,1,0,0,0,4,0,1,0,245,0.204,0,476,-0.135393418,0.06084073,0.321107076,0.051435429,0.044365596,0.054377308,0.004562489,-0.027507153,5,1.526667266,0.4019,0.9856,0.903066667
244,0,9,51228672,4425,2990,1435,8,0.99,94.99,32.865,10,0.717,1,0,338,0.263,0,2153,0.321550556,0.239895479,-0.08638707,-0.063634605,-0.026240348,-0.009176734,-0.003992231,0.043276129,1,1.504654456,-0.6124,0.9081,0.592514286
51,0,4,159379456,2896,2892,4,2,0.99,0.99,0.99,2,0.697,1,0,228,0.248,0.007462687,3007,-0.222328646,0.053173362,0.049514253,0.205300288,0.072676126,-0.001090172,-0.046527793,-0.023282626,1,1.504654456,-0.0772,0.9806,0.907271429
11,2.99,12,107260928,2865,2250,615,1,0,0,0,9,0.316,1,0,192,0.346,0,1134,0.046799474,0.371864236,0.057289855,-0.120026774,0.078493681,0.197550352,-0.005725842,0.034872565,2,1.349806589,0.3804,0.9204,0.48808
169,2.99,4,27054080,2453,1493,960,1,0,0,0,1,0,4,0.733,201,0.239,0,575,-0.083299695,-0.124878247,0.162884639,-0.063816649,0.010743715,0.000838541,0.141626041,0.117839842,2,1.494331838,-0.4122,0.9184,0.487184615
131,0,4,19618816,3851,2097,1754,2,0.99,2.99,1.99,4,0,4,0.524,144,0.286,0.010050251,541,0.321479941,0.392232297,-0.003282086,-0.131342445,-0.007684101,0.147581608,-0.05174703,0.028113205,6,1.384068687,0.1027,0.9177,0.432033333
7,0,4,43540480,3242,2566,676,6,0.99,9.99,5.323333333,2,0,1,0,125,0.393,0.006993007,769,0.268591721,0.243549376,-0.040246734,0.004881385,0.025560091,-0.029667898,-0.013950664,0.041007641,1,1.504654456,0,0,0
58,7.99,4,5474304,4028,1395,2633,1,0,0,0,3,0,4,0,484,0.118,0,730,0.390656272,-0.053202584,0.031387682,0.047588199,-0.050131127,-0.185609727,0.041489621,0.163974864,1,1.504654456,0,0.9647,0.779018182
34606,0,17,153006080,2825,1402,1423,10,1.99,99.99,33.59,5,0.518,5,0,521,0.317,0.001763668,7353,0.117786406,-0.002440615,-0.293064323,0.088791396,0.112461205,-0.030813976,0.049654374,-0.00453818,1,1.504654456,-0.8963,0.9958,0.624254545
43,0,4,36896768,2816,2816,0,4,1.99,19.99,9.49,9,0.388,1,0,211,0.198,0.012096774,3310,-0.061261165,-0.007044768,-0.075756722,-0.023228966,-0.188331418,-0.071624849,0.052332921,-0.072818564,1,1.504654456,0,0.791,0.635257143
312,0,12,151030784,3785,2400,1385,3,1.99,1.99,1.99,9,0.496,1,0,87,0.312,0,1620,-0.356744343,-0.000702899,0.073178185,-0.128211765,-0.052198342,0.003810414,0.010554454,0.118876664,1,1.504654456,-0.3476,0.9477,0.61415
6,0,12,40902656,2959,2959,0,1,0,0,0,3,0.661,1,0,57,0.199,0,2056,-0.308935539,-0.241472043,-0.066538746,-0.068633042,0.069100191,-0.03193624,0.01661182,-0.03584523,1,1.504654456,0,0.3818,0.127266667
6239,0,9,280869888,1938,1391,547,10,0.99,19.99,6.49,2,0,4,0,410,0.291,0.004395604,404,-0.258533437,0.389285643,0.157189885,-0.122232803,0.122366456,0.097846179,-0.118648186,0.096274366,1,1.504654456,-0.5313,0.9899,0.9359
157,0,4,26512384,2857,2770,87,1,1.99,1.99,1.99,15,0.458,1,0,1,0,0,1887,0.41742511,-0.096339674,0.011080681,-0.111017566,-0.076124629,-0.252220411,-0.086466704,-0.033697071,1,1.504654456,-0.9204,0.7003,-0.0464
598,0,4,75660288,3929,2165,1764,1,0,0,0,3,0.608,1,0,631,0.239,0.005657709,950,-0.180675543,0.097715729,0.0694061,-0.15764661,-0.045317781,0.084413335,0.010323103,0.114960283,1,1.504654456,-0.5349,0.9242,0.702166667
1068,0,9,43182080,3858,1772,2086,10,0.99,14.99,2.99,2,0,6,0.437,130,0.244,0,1551,-0.024017137,0.199168073,-0.060333129,0.152756542,-0.003775657,-0.048972977,0.030310425,-0.226398845,5,1.654995786,0.4098,0.9856,0.704985714
10,0,4,42323969,3933,3933,0,1,0,0,0,3,0,1,0,71,0.29,0,34,-0.063544096,-0.309475588,0.330744109,0.098589852,0.020615092,0.079780652,-0.048676626,-0.031872031,1,1.504654456,0.9896,0.9897,0.98965
13433,0,4,29326612,4802,3834,968,1,0.99,0.99,0.99,1,0,1,0,157,0.245,0,1495,0.08121068,0.14984073,-0.088713919,-0.096164372,-0.096886529,-0.120377039,-0.036712592,-0.005448472,3,1.344698184,-0.1608,0.9802,0.68252
22,0,9,821308416,2292,2273,19,10,0.99,15.99,4.89,3,0.429,1,0,256,0.348,0,3074,-0.354318148,0.037472758,-0.057150129,-0.095930926,-0.062381658,0.016285519,-0.015226755,0.002437501,5,1.334174485,-0.3632,0.9718,0.433971429
38,0,4,48571392,2601,2601,0,1,0,0,0,1,0,1,0,97,0.191,0,1308,-0.143589048,-0.073261921,0.126243987,0.19333523,0.059523158,0.007786852,0.06803176,-0.206692596,1,1.504654456,0,0.7569,0.497333333
